name,stars,forks,age_years,language,description,url,watchers,open_issues,releases,contributors,loc_total,cbo_avg,dit_avg,lcom_avg,wmc_avg,cc_avg,created_at,updated_at,loc_comments_total,classes_count,methods_count,cbo_max,dit_max,lcom_max,noc_avg,clone_url
redhat/tomcat-java,345,64,3.91,Java,A popular Java service for kafka,https://github.com/redhat/tomcat-java,364,,27,37,22651,22.89,2.83,49.9,10.95,5.46,2021-10-21T22:56:09.352452Z,2024-12-24T22:56:09.352455Z,5665.0,87.0,715.0,158.0,5.0,127.0,5.63,https://github.com/redhat/tomcat-java.git
linkedin/spark-spring,345,24,4.82,Java,A popular Java server for guava,https://github.com/linkedin/spark-spring,348,,86,28,7500,4.88,2.08,35.88,27.64,6.49,2020-11-22T22:56:09.327656Z,2025-08-18T22:56:09.327658Z,1125.0,19.0,174.0,25.0,5.0,111.0,7.9,https://github.com/linkedin/spark-spring.git
amazon/plugin-api-core,339,18,12.41,Java,A popular Java api for hbase,https://github.com/amazon/plugin-api-core,397,,59,30,17342,21.55,4.71,16.24,29.68,11.26,2013-04-20T22:56:09.315359Z,2025-08-13T22:56:09.315362Z,4503.0,80.0,1214.0,58.0,7.0,59.0,6.62,https://github.com/amazon/plugin-api-core.git
facebook/framework-gson,337,33,11.28,Java,A popular Java core for spring,https://github.com/facebook/framework-gson,388,,35,14,1000,14.41,3.52,31.75,27.36,6.72,2014-06-08T22:56:09.335501Z,2025-03-22T22:56:09.335504Z,166.0,10.0,74.0,65.0,10.0,84.0,4.52,https://github.com/facebook/framework-gson.git
netflix/storm,334,44,8.48,Java,A popular Java server for jetty,https://github.com/netflix/storm,309,,15,31,12034,21.37,4.2,54.5,37.38,3.12,2017-03-26T22:56:09.335553Z,2025-04-04T22:56:09.335556Z,1557.0,106.0,1306.0,167.0,8.0,149.0,3.49,https://github.com/netflix/storm.git
apache/mongodb-core,331,78,1.61,Java,A popular Java library for akka,https://github.com/apache/mongodb-core,302,,60,26,13214,19.47,2.42,29.94,27.26,8.16,2024-02-08T22:56:09.312642Z,2024-12-28T22:56:09.312646Z,1661.0,116.0,1283.0,89.0,4.0,54.0,3.84,https://github.com/apache/mongodb-core.git
github/plugin-jackson,329,117,2.51,Java,A popular Java framework for microservice,https://github.com/github/plugin-jackson,358,,29,39,28353,10.96,2.05,12.22,31.06,8.03,2023-03-15T22:56:09.323964Z,2025-04-10T22:56:09.323969Z,5054.0,71.0,600.0,85.0,3.0,25.0,2.81,https://github.com/github/plugin-jackson.git
apache/core-hbase,327,68,6.99,Java,A popular Java server for retrofit,https://github.com/apache/core-hbase,329,,22,16,1000,14.42,4.02,56.05,15.86,4.8,2018-09-22T22:56:09.327445Z,2025-02-14T22:56:09.327447Z,162.0,10.0,114.0,113.0,11.0,188.0,1.44,https://github.com/apache/core-hbase.git
ibm/akka-core,326,106,11.16,Java,A popular Java base for elasticsearch,https://github.com/ibm/akka-core,378,,9,39,24696,4.88,3.93,26.54,22.79,7.06,2014-07-20T22:56:09.336273Z,2024-11-22T22:56:09.336276Z,6509.0,160.0,1223.0,16.0,9.0,101.0,5.08,https://github.com/ibm/akka-core.git
netflix/retrofit,321,47,1.54,Java,A popular Java tool for security,https://github.com/netflix/retrofit,283,,47,42,15254,8.72,3.3,6.86,29.91,3.65,2024-03-03T22:56:09.354508Z,2024-09-28T22:56:09.354511Z,2714.0,68.0,1134.0,57.0,8.0,18.0,4.59,https://github.com/netflix/retrofit.git
redhat/storm,320,117,12.23,Java,A popular Java server for reactor,https://github.com/redhat/storm,260,,29,38,26351,11.09,1.96,50.09,26.34,7.61,2013-06-27T22:56:09.335724Z,2025-06-21T22:56:09.335727Z,7174.0,55.0,1033.0,38.0,3.0,176.0,1.48,https://github.com/redhat/storm.git
maven/api-core,317,74,3.54,Java,A popular Java service for rxjava,https://github.com/maven/api-core,380,,40,19,19332,8.21,5.64,7.51,33.74,2.45,2022-03-06T22:56:09.343639Z,2025-09-17T22:56:09.343640Z,2015.0,62.0,683.0,24.0,9.0,26.0,6.48,https://github.com/maven/api-core.git
gitlab/retrofit,316,23,7.49,Java,A popular Java server for cassandra,https://github.com/gitlab/retrofit,352,,63,40,4929,14.61,5.28,55.29,10.23,7.24,2018-03-22T22:56:09.354614Z,2024-12-13T22:56:09.354617Z,1324.0,13.0,161.0,97.0,13.0,105.0,6.62,https://github.com/gitlab/retrofit.git
atlassian/base-flink,313,25,11.18,Java,A popular Java plugin for hbase,https://github.com/atlassian/base-flink,307,,81,33,1000,10.58,4.78,17.8,36.14,2.81,2014-07-15T22:56:09.319158Z,2025-04-08T22:56:09.319161Z,176.0,10.0,136.0,41.0,8.0,49.0,3.0,https://github.com/atlassian/base-flink.git
netflix/netty,305,91,6.9,Java,A popular Java shared for elasticsearch,https://github.com/netflix/netty,336,,67,27,7122,6.42,4.35,32.04,10.67,4.87,2018-10-26T22:56:09.345220Z,2025-08-04T22:56:09.345222Z,1406.0,66.0,523.0,14.0,11.0,58.0,4.37,https://github.com/netflix/netty.git
gitlab/spring,304,57,7.38,Java,A popular Java library for kafka,https://github.com/gitlab/spring,252,,19,33,1000,16.69,3.44,45.95,38.9,11.11,2018-05-01T22:56:09.310369Z,2025-01-11T22:56:09.310373Z,154.0,10.0,198.0,108.0,6.0,70.0,7.06,https://github.com/gitlab/spring.git
jetbrains/spark,303,41,14.0,Java,A popular Java tool for netty,https://github.com/jetbrains/spark,266,,81,14,21449,19.91,1.89,52.26,39.12,11.73,2011-09-19T22:56:09.314574Z,2025-02-11T22:56:09.314577Z,3092.0,99.0,1778.0,67.0,5.0,149.0,2.2,https://github.com/jetbrains/spark.git
twitter/cloud-2,302,23,4.2,Java,A popular Java api for hadoop,https://github.com/twitter/cloud-2,280,,44,41,6889,15.98,4.04,23.43,32.85,8.03,2021-07-05T22:56:09.352963Z,2024-12-26T22:56:09.352966Z,1464.0,14.0,203.0,34.0,11.0,35.0,7.01,https://github.com/twitter/cloud-2.git
maven/flink-client,300,90,5.01,Java,A popular Java common for rest,https://github.com/maven/flink-client,325,,25,25,1587,22.84,2.64,43.88,17.28,10.77,2020-09-13T22:56:09.315135Z,2024-09-20T22:56:09.315139Z,369.0,10.0,72.0,123.0,5.0,153.0,1.17,https://github.com/maven/flink-client.git
airbnb/guava,291,108,8.37,Java,A popular Java plugin for hadoop,https://github.com/airbnb/guava,334,,60,18,1094,14.16,5.99,48.89,25.28,6.06,2017-05-06T22:56:09.351454Z,2025-09-16T22:56:09.351459Z,263.0,10.0,139.0,49.0,9.0,116.0,4.64,https://github.com/airbnb/guava.git
alibaba/core-hadoop,288,59,14.56,Java,A popular Java api for spring,https://github.com/alibaba/core-hadoop,247,,11,28,8165,10.9,1.86,44.13,38.05,11.87,2011-02-27T22:56:09.314733Z,2025-07-31T22:56:09.314738Z,1801.0,50.0,824.0,54.0,4.0,126.0,1.46,https://github.com/alibaba/core-hadoop.git
maven/akka,284,109,2.96,Java,A popular Java extension for lucene,https://github.com/maven/akka,298,,28,11,11780,20.48,4.92,42.89,24.27,11.18,2022-10-03T22:56:09.352225Z,2025-06-06T22:56:09.352228Z,1472.0,27.0,434.0,104.0,12.0,167.0,7.14,https://github.com/maven/akka.git
twitter/hadoop,280,76,4.78,Java,A popular Java server for redis,https://github.com/twitter/hadoop,268,,10,35,1000,11.78,3.1,35.28,10.39,6.37,2020-12-07T22:56:09.345287Z,2025-04-18T22:56:09.345289Z,298.0,10.0,68.0,35.0,6.0,125.0,3.59,https://github.com/twitter/hadoop.git
ibm/jetty,278,62,6.96,Java,A popular Java plugin for web,https://github.com/ibm/jetty,313,,8,37,1000,22.28,4.98,42.55,9.45,3.3,2018-10-02T22:56:09.334997Z,2025-04-23T22:56:09.335000Z,257.0,10.0,172.0,133.0,11.0,147.0,6.36,https://github.com/ibm/jetty.git
ibm/commons-v2,267,18,2.93,Java,A popular Java core for guava,https://github.com/ibm/commons-v2,301,,75,23,13886,23.78,2.77,7.06,15.72,9.27,2022-10-12T22:56:09.344809Z,2025-02-09T22:56:09.344813Z,3620.0,32.0,413.0,60.0,7.0,14.0,1.37,https://github.com/ibm/commons-v2.git
twitter/shared-guava,266,49,12.98,Java,A popular Java server for web,https://github.com/twitter/shared-guava,289,,56,35,5014,19.72,4.34,35.89,19.73,11.69,2012-09-23T22:56:09.338730Z,2024-10-16T22:56:09.338733Z,1127.0,15.0,107.0,44.0,7.0,86.0,2.92,https://github.com/twitter/shared-guava.git
spring/client-spring,262,55,3.06,Java,A popular Java plugin for redis,https://github.com/spring/client-spring,210,,73,26,8951,12.21,5.37,31.37,20.82,6.05,2022-08-28T22:56:09.339929Z,2025-01-17T22:56:09.339932Z,1051.0,89.0,790.0,74.0,16.0,102.0,1.4,https://github.com/spring/client-spring.git
baidu/framework-tomcat,259,19,1.05,Java,A popular Java shared for kafka,https://github.com/baidu/framework-tomcat,256,,51,31,1000,21.65,1.04,49.7,31.12,4.09,2024-08-28T22:56:09.338887Z,2025-05-01T22:56:09.338889Z,251.0,10.0,140.0,165.0,3.0,187.0,5.76,https://github.com/baidu/framework-tomcat.git
dropbox/guava,259,34,8.62,Java,A popular Java common for web,https://github.com/dropbox/guava,262,,38,19,17082,12.97,5.61,13.36,32.48,9.02,2017-02-02T22:56:09.319104Z,2025-08-27T22:56:09.319108Z,4712.0,51.0,551.0,102.0,15.0,29.0,1.65,https://github.com/dropbox/guava.git
tencent/commons-java,250,16,11.04,Java,A popular Java framework for mongodb,https://github.com/tencent/commons-java,243,,24,25,1000,7.21,5.94,55.87,13.08,10.2,2014-09-03T22:56:09.352294Z,2025-01-03T22:56:09.352297Z,150.0,10.0,68.0,34.0,17.0,85.0,6.15,https://github.com/tencent/commons-java.git
spotify/gson,250,31,6.61,Java,A popular Java library for cloud,https://github.com/spotify/gson,213,,67,36,1000,12.0,2.12,22.22,12.34,10.38,2019-02-08T22:56:09.351273Z,2024-10-12T22:56:09.351276Z,100.0,10.0,119.0,45.0,5.0,46.0,4.76,https://github.com/spotify/gson.git
atlassian/httpclient,249,46,8.63,Java,A popular Java utils for rest,https://github.com/atlassian/httpclient,294,,15,39,3365,10.44,2.98,16.61,37.14,4.85,2017-01-31T22:56:09.344484Z,2024-11-19T22:56:09.344485Z,458.0,21.0,139.0,74.0,8.0,65.0,7.85,https://github.com/atlassian/httpclient.git
maven/extension-httpclient,248,26,12.33,Java,A popular Java utils for elasticsearch,https://github.com/maven/extension-httpclient,251,,8,15,9516,17.73,1.58,38.28,27.73,10.3,2013-05-19T22:56:09.338084Z,2025-07-28T22:56:09.338087Z,1934.0,27.0,412.0,86.0,4.0,75.0,6.96,https://github.com/maven/extension-httpclient.git
github/microservice-client,248,50,7.51,Java,A popular Java client for hadoop,https://github.com/github/microservice-client,271,,64,19,15630,10.48,4.34,16.25,27.39,5.46,2018-03-15T22:56:09.353849Z,2025-07-28T22:56:09.353852Z,3699.0,54.0,924.0,27.0,10.0,44.0,7.49,https://github.com/github/microservice-client.git
twitter/lucene,246,70,12.42,Java,A popular Java base for gson,https://github.com/twitter/lucene,242,,49,31,19169,5.47,4.3,30.36,9.47,3.63,2013-04-18T22:56:09.325286Z,2025-04-11T22:56:09.325290Z,3283.0,53.0,966.0,42.0,12.0,52.0,2.77,https://github.com/twitter/lucene.git
spring/lucene,243,73,9.69,Java,A popular Java utils for rxjava,https://github.com/spring/lucene,197,,22,43,1220,23.41,1.05,44.13,35.04,9.37,2016-01-11T22:56:09.359408Z,2024-12-14T22:56:09.359411Z,310.0,10.0,98.0,101.0,2.0,146.0,6.08,https://github.com/spring/lucene.git
apache/rxjava,238,76,13.25,Java,A popular Java service for akka,https://github.com/apache/rxjava,274,,18,29,6136,14.53,2.74,26.31,26.03,2.45,2012-06-18T22:56:09.339825Z,2025-07-27T22:56:09.339828Z,1137.0,29.0,404.0,55.0,7.0,60.0,5.43,https://github.com/apache/rxjava.git
airbnb/server-hadoop,236,21,8.05,Java,A popular Java shared for hadoop,https://github.com/airbnb/server-hadoop,275,,61,22,7843,7.69,5.13,25.57,8.3,6.33,2017-08-29T22:56:09.351384Z,2025-06-05T22:56:09.351389Z,1167.0,68.0,805.0,51.0,14.0,76.0,2.9,https://github.com/airbnb/server-hadoop.git
maven/spring-server,228,26,1.37,Java,A popular Java framework for hbase,https://github.com/maven/spring-server,232,,9,29,3309,7.37,5.8,56.08,8.76,9.74,2024-05-05T22:56:09.319378Z,2025-01-16T22:56:09.319381Z,911.0,10.0,53.0,51.0,10.0,141.0,3.48,https://github.com/maven/spring-server.git
amazon/data,220,18,7.37,Java,A popular Java client for hbase,https://github.com/amazon/data,211,,46,15,1000,8.6,5.4,42.57,17.44,9.83,2018-05-05T22:56:09.349331Z,2025-08-24T22:56:09.349334Z,281.0,10.0,56.0,54.0,13.0,102.0,0.72,https://github.com/amazon/data.git
redhat/api,219,69,8.13,Java,A popular Java service for mongodb,https://github.com/redhat/api,217,,53,26,1000,24.96,3.96,22.89,37.29,6.64,2017-07-31T22:56:09.314398Z,2024-12-29T22:56:09.314402Z,233.0,10.0,194.0,110.0,9.0,40.0,7.0,https://github.com/redhat/api.git
spring/common-mongodb,215,46,9.58,Java,A popular Java tool for spring,https://github.com/spring/common-mongodb,230,,75,42,1000,14.43,5.23,9.57,27.42,11.63,2016-02-19T22:56:09.344271Z,2025-05-22T22:56:09.344272Z,228.0,10.0,154.0,113.0,8.0,17.0,7.19,https://github.com/spring/common-mongodb.git
alibaba/gson,213,58,7.76,Java,A popular Java utils for akka,https://github.com/alibaba/gson,189,,51,34,1000,22.65,3.9,39.97,34.64,11.9,2017-12-14T22:56:09.354731Z,2025-03-18T22:56:09.354733Z,124.0,10.0,117.0,46.0,6.0,148.0,7.31,https://github.com/alibaba/gson.git
alibaba/shared-kafka,211,11,4.33,Java,A popular Java library for zookeeper,https://github.com/alibaba/shared-kafka,178,,45,15,3645,7.87,1.64,33.09,32.49,7.91,2021-05-20T22:56:09.355828Z,2025-04-23T22:56:09.355831Z,654.0,13.0,188.0,23.0,4.0,93.0,1.67,https://github.com/alibaba/shared-kafka.git
microsoft/boot,210,44,3.7,Java,A popular Java plugin for httpclient,https://github.com/microsoft/boot,231,,18,11,5993,6.59,5.53,26.24,13.33,2.08,2022-01-06T22:56:09.344223Z,2025-07-23T22:56:09.344224Z,825.0,13.0,120.0,35.0,9.0,87.0,7.23,https://github.com/microsoft/boot.git
linkedin/microservice,207,19,3.81,Java,A popular Java library for rxjava,https://github.com/linkedin/microservice,232,,31,38,7402,4.16,3.28,28.29,15.02,11.94,2021-11-26T22:56:09.358610Z,2025-07-26T22:56:09.358613Z,779.0,56.0,867.0,23.0,5.0,86.0,5.23,https://github.com/linkedin/microservice.git
google/plugin-netty,205,35,3.33,Java,A popular Java server for redis,https://github.com/google/plugin-netty,238,,17,30,14667,14.14,1.0,39.16,34.67,11.74,2022-05-22T22:56:09.352575Z,2024-12-11T22:56:09.352579Z,2351.0,48.0,827.0,91.0,2.0,95.0,1.57,https://github.com/google/plugin-netty.git
github/plugin-flink,204,41,4.38,Java,A popular Java api for akka,https://github.com/github/plugin-flink,170,,11,22,11017,5.3,1.17,42.37,15.76,4.18,2021-05-03T22:56:09.359246Z,2025-05-06T22:56:09.359249Z,1150.0,109.0,555.0,25.0,2.0,119.0,7.5,https://github.com/github/plugin-flink.git
gitlab/api-elasticsearch,204,36,2.6,Java,A popular Java utils for zookeeper,https://github.com/gitlab/api-elasticsearch,236,,36,19,1000,8.11,1.55,51.15,30.9,4.94,2023-02-12T22:56:09.343045Z,2025-05-09T22:56:09.343046Z,126.0,10.0,198.0,30.0,2.0,161.0,4.4,https://github.com/gitlab/api-elasticsearch.git
spring/base-security,203,46,3.4,Java,A popular Java shared for zookeeper,https://github.com/spring/base-security,183,,36,16,1000,16.28,5.7,20.13,18.11,9.39,2022-04-26T22:56:09.324034Z,2024-11-26T22:56:09.324038Z,118.0,10.0,85.0,57.0,14.0,73.0,1.32,https://github.com/spring/base-security.git
github/retrofit,203,23,8.61,Java,A popular Java utils for rxjava,https://github.com/github/retrofit,211,,52,33,2569,14.01,1.61,47.55,21.34,10.69,2017-02-07T22:56:09.359689Z,2024-12-20T22:56:09.359692Z,756.0,10.0,64.0,57.0,3.0,104.0,5.88,https://github.com/github/retrofit.git
eclipse/zookeeper-server,199,55,12.96,Java,A popular Java server for spark,https://github.com/eclipse/zookeeper-server,183,,38,17,1000,11.01,3.08,13.76,17.53,3.11,2012-10-01T22:56:09.350490Z,2025-06-08T22:56:09.350493Z,116.0,10.0,94.0,74.0,5.0,24.0,7.31,https://github.com/eclipse/zookeeper-server.git
ibm/plugin-hadoop-server,193,63,3.86,Java,A popular Java server for retrofit,https://github.com/ibm/plugin-hadoop-server,185,,20,14,18082,21.27,4.06,52.53,36.64,8.4,2021-11-09T22:56:09.350060Z,2025-08-09T22:56:09.350063Z,4499.0,51.0,754.0,80.0,7.0,142.0,3.96,https://github.com/ibm/plugin-hadoop-server.git
linkedin/hbase,183,31,13.76,Java,A popular Java framework for mongodb,https://github.com/linkedin/hbase,196,,50,36,16741,10.58,3.73,24.8,17.57,7.17,2011-12-14T22:56:09.329079Z,2025-07-14T22:56:09.329082Z,2537.0,68.0,580.0,54.0,11.0,42.0,5.6,https://github.com/linkedin/hbase.git
apache/reactor,181,13,9.05,Java,A popular Java utils for storm,https://github.com/apache/reactor,209,,52,30,20553,11.99,5.8,57.93,14.46,10.9,2016-09-01T22:56:09.337664Z,2025-01-11T22:56:09.337667Z,3435.0,161.0,1545.0,80.0,12.0,167.0,7.3,https://github.com/apache/reactor.git
twitter/web,178,65,10.39,Java,A popular Java shared for hadoop,https://github.com/twitter/web,142,,51,20,1364,23.03,3.79,23.7,34.55,7.99,2015-04-30T22:56:09.360210Z,2025-03-22T22:56:09.360212Z,256.0,10.0,54.0,127.0,9.0,90.0,4.3,https://github.com/twitter/web.git
oracle/spark,171,40,1.77,Java,A popular Java utils for mongodb,https://github.com/oracle/spark,148,,41,16,5319,21.31,1.18,51.73,36.76,7.56,2023-12-10T22:56:09.325414Z,2025-01-14T22:56:09.325419Z,1233.0,22.0,393.0,71.0,3.0,171.0,3.98,https://github.com/oracle/spark.git
netflix/hadoop,170,47,12.04,Java,A popular Java base for hadoop,https://github.com/netflix/hadoop,147,,25,38,1000,11.97,5.79,6.49,18.07,4.77,2013-09-02T22:56:09.327236Z,2024-11-25T22:56:09.327237Z,261.0,10.0,68.0,25.0,14.0,11.0,7.17,https://github.com/netflix/hadoop.git
airbnb/microservice,165,24,6.73,Java,A popular Java plugin for data,https://github.com/airbnb/microservice,167,,20,14,22423,18.77,2.6,32.26,32.78,6.95,2018-12-25T22:56:09.353669Z,2025-03-16T22:56:09.353672Z,2729.0,61.0,336.0,104.0,7.0,103.0,7.98,https://github.com/airbnb/microservice.git
jetbrains/guava,158,28,10.26,Java,A popular Java service for akka,https://github.com/jetbrains/guava,127,,22,11,1000,5.12,3.9,37.65,12.49,5.75,2015-06-16T22:56:09.346394Z,2025-02-27T22:56:09.346396Z,112.0,10.0,143.0,35.0,8.0,80.0,4.92,https://github.com/jetbrains/guava.git
ibm/commons,157,41,4.64,Java,A popular Java service for rest,https://github.com/ibm/commons,182,,60,29,8164,12.16,3.35,31.72,28.26,5.46,2021-01-28T22:56:09.358089Z,2024-11-02T22:56:09.358102Z,977.0,35.0,332.0,95.0,8.0,90.0,3.62,https://github.com/ibm/commons.git
jetbrains/extension-redis,154,28,10.95,Java,A popular Java client for guava,https://github.com/jetbrains/extension-redis,144,,26,35,1000,12.68,1.48,48.91,12.41,11.08,2014-10-06T22:56:09.343187Z,2025-09-16T22:56:09.343188Z,131.0,10.0,110.0,39.0,3.0,94.0,2.02,https://github.com/jetbrains/extension-redis.git
square/storm,152,20,8.06,Java,A popular Java utils for jackson,https://github.com/square/storm,129,,62,12,1000,6.33,3.5,53.46,31.04,10.1,2017-08-27T22:56:09.319214Z,2025-05-21T22:56:09.319217Z,165.0,10.0,142.0,39.0,6.0,134.0,0.62,https://github.com/square/storm.git
airbnb/storm,149,53,11.32,Java,A popular Java extension for commons,https://github.com/airbnb/storm,123,,64,30,8076,14.06,3.99,53.3,32.03,9.67,2014-05-24T22:56:09.341486Z,2025-07-19T22:56:09.341489Z,1638.0,26.0,205.0,69.0,9.0,152.0,4.98,https://github.com/airbnb/storm.git
dropbox/api-storm,147,38,4.37,Java,A popular Java server for jackson,https://github.com/dropbox/api-storm,173,,20,14,8212,8.17,2.63,50.27,20.48,3.08,2021-05-07T22:56:09.357372Z,2024-11-28T22:56:09.357376Z,1566.0,19.0,352.0,55.0,7.0,89.0,4.42,https://github.com/dropbox/api-storm.git
baidu/tomcat,146,57,4.89,Java,A popular Java utils for gson,https://github.com/baidu/tomcat,137,,48,39,1000,4.85,3.8,29.31,31.01,5.19,2020-10-27T22:56:09.339441Z,2025-07-13T22:56:09.339444Z,238.0,10.0,160.0,27.0,7.0,90.0,4.42,https://github.com/baidu/tomcat.git
sonar/spring,146,27,14.6,Java,A popular Java plugin for hbase,https://github.com/sonar/spring,154,,33,19,33255,15.63,5.47,51.58,21.72,10.56,2011-02-10T22:56:09.331667Z,2025-07-17T22:56:09.331673Z,4512.0,96.0,878.0,74.0,10.0,168.0,1.85,https://github.com/sonar/spring.git
tencent/spark,143,22,2.42,Java,A popular Java api for jetty,https://github.com/tencent/spark,145,,16,31,7004,21.09,2.97,5.11,19.31,4.93,2023-04-19T22:56:09.340709Z,2025-08-05T22:56:09.340711Z,717.0,22.0,125.0,165.0,5.0,14.0,2.54,https://github.com/tencent/spark.git
eclipse/reactor,143,18,13.34,Java,A popular Java core for guava,https://github.com/eclipse/reactor,141,,56,20,17898,19.03,4.39,6.1,9.62,5.71,2012-05-18T22:56:09.354841Z,2025-09-11T22:56:09.354844Z,2909.0,37.0,395.0,41.0,12.0,12.0,3.36,https://github.com/eclipse/reactor.git
baidu/boot-core,142,33,14.54,Java,A popular Java framework for rest,https://github.com/baidu/boot-core,130,,54,19,1000,17.83,1.15,55.9,34.32,6.01,2011-03-05T22:56:09.327600Z,2025-08-02T22:56:09.327602Z,237.0,10.0,167.0,123.0,2.0,149.0,6.99,https://github.com/baidu/boot-core.git
tencent/extension-kafka,141,50,7.91,Java,A popular Java service for hbase,https://github.com/tencent/extension-kafka,113,,46,10,1000,12.08,2.38,8.94,11.71,3.59,2017-10-22T22:56:09.329662Z,2025-05-20T22:56:09.329665Z,213.0,10.0,137.0,49.0,5.0,29.0,1.81,https://github.com/tencent/extension-kafka.git
eclipse/hadoop-core,134,14,10.92,Java,A popular Java framework for cassandra,https://github.com/eclipse/hadoop-core,112,,14,21,13271,6.91,2.11,44.42,36.44,7.27,2014-10-17T22:56:09.334251Z,2025-06-21T22:56:09.334254Z,3685.0,93.0,834.0,37.0,5.0,97.0,2.62,https://github.com/eclipse/hadoop-core.git
netflix/base-redis,133,46,3.28,Java,A popular Java extension for cassandra,https://github.com/netflix/base-redis,118,,17,35,3722,24.21,3.37,45.81,39.66,11.45,2022-06-08T22:56:09.344127Z,2025-09-15T22:56:09.344129Z,393.0,10.0,68.0,50.0,7.0,81.0,7.38,https://github.com/netflix/base-redis.git
ibm/spark,132,42,1.95,Java,A popular Java tool for okhttp,https://github.com/ibm/spark,140,,50,12,10817,5.28,3.05,51.24,30.08,3.06,2023-10-07T22:56:09.343209Z,2024-10-18T22:56:09.343211Z,1996.0,91.0,1007.0,13.0,5.0,170.0,2.34,https://github.com/ibm/spark.git
spring/httpclient,132,14,7.38,Java,A popular Java service for kafka,https://github.com/spring/httpclient,140,,8,18,19239,6.93,5.97,45.54,12.11,11.46,2018-05-03T22:56:09.345387Z,2025-01-12T22:56:09.345388Z,5210.0,41.0,512.0,39.0,17.0,166.0,3.9,https://github.com/spring/httpclient.git
apache/api,132,39,7.33,Java,A popular Java server for microservice,https://github.com/apache/api,113,,41,35,1000,7.96,5.63,11.47,8.25,7.06,2018-05-22T22:56:09.322938Z,2025-03-10T22:56:09.322941Z,120.0,10.0,190.0,38.0,10.0,19.0,3.13,https://github.com/apache/api.git
apache/utils-akka-core,132,33,2.99,Java,A popular Java base for security,https://github.com/apache/utils-akka-core,112,,23,18,10885,12.29,2.12,6.26,17.08,6.9,2022-09-21T22:56:09.317833Z,2024-11-26T22:56:09.317836Z,2191.0,24.0,440.0,41.0,5.0,18.0,7.69,https://github.com/apache/utils-akka-core.git
facebook/boot,131,18,12.64,Java,A popular Java common for commons,https://github.com/facebook/boot,151,,5,38,9912,23.79,5.74,6.74,22.61,10.89,2013-01-27T22:56:09.315060Z,2025-02-17T22:56:09.315064Z,2218.0,21.0,347.0,86.0,15.0,11.0,4.74,https://github.com/facebook/boot.git
twitter/core-okhttp,130,47,5.73,Java,A popular Java common for redis,https://github.com/twitter/core-okhttp,135,,19,12,1000,3.13,5.97,34.56,10.94,2.06,2019-12-25T22:56:09.343614Z,2025-05-02T22:56:09.343616Z,213.0,10.0,175.0,18.0,15.0,110.0,6.02,https://github.com/twitter/core-okhttp.git
google/base-okhttp,129,45,14.04,Java,A popular Java plugin for okhttp,https://github.com/google/base-okhttp,137,,22,19,1000,11.54,5.28,25.15,30.61,7.01,2011-09-04T22:56:09.345847Z,2025-06-24T22:56:09.345849Z,250.0,10.0,115.0,80.0,10.0,81.0,2.1,https://github.com/google/base-okhttp.git
netflix/microservice,127,19,5.53,Java,A popular Java framework for gson,https://github.com/netflix/microservice,140,,70,33,1000,9.09,1.07,45.22,38.15,2.62,2020-03-07T22:56:09.338633Z,2025-03-27T22:56:09.338636Z,184.0,10.0,74.0,59.0,2.0,153.0,7.9,https://github.com/netflix/microservice.git
gitlab/hadoop,127,28,1.5,Java,A popular Java core for spring,https://github.com/gitlab/hadoop,108,,51,26,1119,7.13,2.67,55.2,11.92,10.31,2024-03-18T22:56:09.310429Z,2024-12-03T22:56:09.310433Z,208.0,10.0,62.0,37.0,7.0,173.0,4.47,https://github.com/gitlab/hadoop.git
atlassian/microservice,124,43,8.94,Java,A popular Java api for rxjava,https://github.com/atlassian/microservice,107,,8,38,12062,18.28,3.85,8.65,29.3,11.48,2016-10-10T22:56:09.338136Z,2025-05-24T22:56:09.338139Z,1749.0,34.0,540.0,112.0,9.0,13.0,4.63,https://github.com/atlassian/microservice.git
amazon/api,124,14,2.1,Java,A popular Java framework for guava,https://github.com/amazon/api,144,,57,31,1561,5.2,2.86,59.28,19.09,8.84,2023-08-14T22:56:09.317289Z,2025-02-01T22:56:09.317292Z,404.0,10.0,79.0,30.0,7.0,132.0,7.87,https://github.com/amazon/api.git
ibm/shared-web,122,25,11.72,Java,A popular Java tool for mongodb,https://github.com/ibm/shared-web,114,,50,17,18158,16.09,4.42,33.86,37.93,4.01,2013-12-28T22:56:09.353563Z,2025-06-22T22:56:09.353566Z,3019.0,164.0,1335.0,124.0,12.0,82.0,7.78,https://github.com/ibm/shared-web.git
apache/httpclient,121,31,2.78,Java,A popular Java library for netty,https://github.com/apache/httpclient,138,,12,16,1000,23.13,3.12,12.74,37.59,11.74,2022-12-07T22:56:09.342169Z,2024-11-13T22:56:09.342172Z,195.0,10.0,141.0,166.0,5.0,38.0,1.26,https://github.com/apache/httpclient.git
facebook/commons,120,33,12.59,Java,A popular Java shared for web,https://github.com/facebook/commons,103,,51,16,1000,17.69,1.2,53.91,35.97,11.8,2013-02-13T22:56:09.326212Z,2025-02-06T22:56:09.326217Z,238.0,10.0,142.0,42.0,1.0,97.0,7.67,https://github.com/facebook/commons.git
baidu/data,119,19,4.08,Java,A popular Java tool for kafka,https://github.com/baidu/data,122,,57,11,2695,8.13,5.11,56.25,39.96,9.4,2021-08-21T22:56:09.316792Z,2025-03-05T22:56:09.316796Z,472.0,10.0,125.0,17.0,14.0,128.0,3.44,https://github.com/baidu/data.git
